Timestamp	Коротко про те, ким ви працюєте:	Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?	Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?	Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?	В цілому, я довіряю новинам:	Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:	Як багато Ваших знайомих вакциновано?	Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?	Як епідемія вплинула на ваших знайомих?	Ви готові придбати або вже придбали підроблений сертифікат COVID-19:	Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:	Ви вакциновані:	Незалежно від позиції по вакцинації, ви відстоюєте її:	Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:	У чому, на вашу думку, основна причина відмови людей від вакцинації?	Ваш вік
12/14/2021 16:08:16	Інспектор	Ні, не вірю в його існування	Ні, не довіряю	Скоріше так	Так	Ні	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Так	Ні	Ні	Непрозорість, недовіра владі	35-45
12/14/2021 16:09:19	Экономист	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Важко відповісти	Ніхто	Ніяк не позначилося	Серед знайомих є загиблі	Так	Скоріше негативно	Ні	Ні	Ні	Это не вакцина	35-45
12/14/2021 16:10:04	Работаю	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Важко відповісти	Ні	Негативно	Ні	Так	Так	Это не вакцинация а эксперементальные инъекции. Поэтому, мыслящие люди отказываются от экспериментов над своим здоровьем и жизнью.	35-45
12/14/2021 16:10:48	Худодник	Так, вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих ніхто не захворів	Ні	Скоріше позитивно	Ні	Так	Ні	Недовіра до влади та медицини	16-25
12/14/2021 16:12:46	Фахівець з сертифікації	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Так	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Скоріше позитивно	Ні	Так	Ні	Експериментальна вакцина	45-60
12/14/2021 16:14:35	Пенсіонерка	Так, вважаю	Ні, не довіряю	Скоріше так	Так	Так	Ніхто	Далося взнаки негативно, відчуваю засудження	Важко відповісти	Ні	Скоріше негативно	Ні	Ні	Ні	Це не вакцина	45-60
12/14/2021 16:14:40	Продавець	Так, вважаю	Скоріше ні	Скоріше так	Ні	Важко відповісти	Близько трьох чвертей знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше позитивно	Так	Ні	Ні	Недовіра до влади та системи охорони здоров'я	16-25
12/14/2021 16:14:50	Не прцюю	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Так	Втручання в організм експериментальної рідини, тим більш, примусово.	35-45
12/14/2021 16:14:53	Аналитик	Ні, не вважаю	Скоріше ні	Так, довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Важко відповісти	Ні	Позитивно	Ні	Ні	Ні	.	25-35
12/14/2021 16:15:03	Педагог	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Ні	Ускладнення	45-60
12/14/2021 16:28:53	своё дело	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Ні	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих ніхто не захворів	Так	Негативно	Ні	Ні	Так	обычное сезонное ОРВИ, пандемии лжи уже не верят	35-45
12/14/2021 16:33:42	Офіс-менеджер, кібербезпека 	Ні, не вважаю	Скоріше ні	Скоріше так	Ні	Так	Близько трьох чвертей знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше позитивно	Так	Ні	Ні	"Примусові методи ""заохочення"", недостатня кількість досліджень"	25-35
12/14/2021 16:40:08	.і.	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих ніхто не захворів	Ні	Негативно	Ні	Так	Ні	У тому, що ви виродки які хочете смерті людям, які вас годують! Як би не обманювали то можливо було би відношення інше, а так ./.   ...	25-35
12/14/2021 16:40:52	Комірник	Так, вважаю	Так, довіряю	Скоріше так	Так	Ні	Всі або майже всі	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є загиблі	Ні	Позитивно	Так	Так	Ні	Не довіра до вакцини	45-60
12/14/2021 16:43:39	IT recruiter	Так, вважаю	Скоріше так	Скоріше так	Так	Важко відповісти	Близько трьох чвертей знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Позитивно	Так	Ні	Ні	Недовіра до вакцини, адже вона нова і не може бути відомо, які наслідки може спричинити через великий проміжок часу	25-35
12/14/2021 16:49:24	Лікарня	Ні, не вважаю	Ні, не довіряю	Скоріше так	Так	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Так	Негативно	Ні	Ні	Ні	Експериментальна суміш	45-60
12/14/2021 16:55:54	фріланс	Так, вважаю	Так, довіряю	Скоріше так	Ні	Ні	Близько трьох чвертей знайомих	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є люди з ускладненнями	Ні	Позитивно	Так	Так	Ні	дезінформація та довіра «голосним» ресурсам події в Російській федерації	25-35
12/14/2021 17:14:15	Робітнича професія	Ні, не вірю в його існування	Ні, не довіряю	Скоріше так	Ні	Ні	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Ні	Вакцинація від ковіду є клінічним експериментом	35-45
