"Timestamp"	"Коротко про те, ким ви працюєте:"	"category"	"probability"	"speciality_auto_detected"	"Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?"	"Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?"	"Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?"	"В цілому, я довіряю новинам:"	"Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:"	"Як багато Ваших знайомих вакциновано?"	"Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?"	"Як епідемія вплинула на ваших знайомих?"	"Ви готові придбати або вже придбали підроблений сертифікат COVID-19:"	"Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:"	"Ви вакциновані:"	"Незалежно від позиції по вакцинації, ви відстоюєте її:"	"Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:"	"У чому, на вашу думку, основна причина відмови людей від вакцинації?"	"Ваш вік"
"12/20/2021 14:31:23"	"Вчитель"	"2-5"	1	"вчитель"	"Так, вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"В ТОМУ, ЩО ВАКЦИНА ЩЕ ЯК СЛІД НЕ ДОСЛІДЖЕНА"	"25-35"
"12/20/2021 14:31:38"	"Флп"	"1-7"			"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Ні"	"Всі або майже всі"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Неосвідченність"	"25-35"
"12/20/2021 14:31:43"	"Провізор"	"2-2"			"Так, вважаю"	"Скоріше так"	"Так, довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Ні"	"Ні"	"Недовіра владі "	"25-35"
"12/20/2021 14:33:00"	"Средний менеджмент"	"1-7"	0.777777777777778	"менеджер(2)"	"Так, вважаю"	"Скоріше так"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше позитивно"	"Так"	"Так"	"Ні"	"Отсутствие знаний и критического мышления. Недоверие к мед системе в целом "	"25-35"
"12/20/2021 14:33:04"	"Декрет"	"10-10"	1	"декрет"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Примушення, недовіра до медицини"	"35-45"
"12/20/2021 14:33:26"	"Лікар-офтальмолог"	"2-2"			"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"неграмотність і паніка"	"25-35"
"12/20/2021 14:34:19"	"Підприємець"	"1-7"	1	"підприємець"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Брак освіти і споживання інформаційного сміття"	"25-35"
"12/20/2021 14:34:49"	"Devops "	"2-1"			"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Так"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Недовіра всім та недостатня обізнаність населення про здоров’я "	"35-45"
"12/20/2021 14:36:32"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Так, вважаю"	"Скоріше ні"	"Так, довіряю"	"Ні"	"Важко відповісти"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Позитивно"	"Так"	"Так"	"Ні"	"Низький рівень освіти, недовіра до держави, звичка більше довіряти знайомому, сусіду, відсутність кваліфікованого знайомого лікаря, до якого є довіра."	"25-35"
"12/20/2021 14:36:38"	"Фрілансер "	"3-10"	1	"фрілансер"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Ні"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Так"	"Відсутність критичного мислення та не вміння самостійно аналізувати інформацію  "	"25-35"
"12/20/2021 14:37:22"	"Тестувальниця"	"2-1"	0.88	"тестувальник"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Так"	"Ні"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Погана інформаційна політика. Ігнорування антивакс руху, груп у соц мережах, що розповсюджують дезінформацію. Погана робота с лікарями, ігнорування антивакс лікарів та інформації що вони розповсюджують."	"35-45"
"12/20/2021 14:37:57"	"Завідувач аспірантурою"	"1-5"			"Так, вважаю"	"Скоріше ні"	"Скоріше так"	"Ні"	"Ні"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Низький рівень знань"	"25-35"
"12/20/2021 14:38:03"	"Кухар "	"5-4"			"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Ні"	"Близько половини знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше позитивно"	"Так"	"Ні"	"Ні"	"Недовіра "	"25-35"
"12/20/2021 14:39:37"	"В декретній відпустці"	"10-10"	0.769230769230769	"декретна відпустка"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Читають не ту інформація яку потрібно"	"25-35"
"12/20/2021 14:39:46"	"Психотерапевт"	"2-2"			"Так, вважаю"	"Так, довіряю"	"Скоріше ні"	"Ні"	"Ні"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Необразованность "	"25-35"
"12/20/2021 14:40:28"	"офісний працівник"	"5-4"	0.857142857142857	"соцпрацівник(2)"	"Так, вважаю"	"Скоріше так"	"Так, довіряю"	"Так"	"Ні"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"недовіра"	"25-35"
"12/20/2021 14:41:47"	"Маркетинг"	"2-4"	0.736842105263158	"маркетолог"	"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Так"	"Ні"	"Всі або майже всі"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Неграмотність у базових питаннях. Неналежна кампанія по спростуванню міфів."	"25-35"
"12/20/2021 14:43:50"	"Дизайнер"	"2-8"	1	"дизайнер"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Ні"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше позитивно"	"Так"	"Так"	"Ні"	"Недостаточное количество тестов вакцины и исследование ее влияния на здоровье.Страх неизвестного и изначально предвзятое отношение к любого рода вакцинам"	"25-35"
"12/20/2021 14:43:52"	"Админ/бармен"	"5-4"			"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Так"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Неумение людей отделить правду от фейков, и полное инфополе фейков и страшилок до начала рекламной компании вакцинации. Да и люди в целом не понимают механизм работы вакцины "	"16-25"
"12/20/2021 14:44:35"	"У відпустці по догляду за дитиною"	"10-10"	0.777777777777778	"відпустка(2)"	"Так, вважаю"	"Скоріше ні"	"Скоріше так"	"Так"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Недостатня поінформованість"	"35-45"
"12/20/2021 14:44:36"	"Не працюю"	"10-10"	1	"не працюю"	"Так, вважаю"	"Так, довіряю"	"Скоріше ні"	"Ні"	"Ні"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Їх власна недалекість "	"16-25"
"12/20/2021 14:47:33"	"Инспектор"	"1-7"	0.705882352941176	"директор"	"Так, вважаю"	"Скоріше ні"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Так"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"Нет доверия"	"25-35"
"12/20/2021 14:47:57"	"Здобувач освіти "	"11-10"			"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Так"	"Ні"	"Всі або майже всі"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Страх від  поширенної інформації. Вірять в занадто складну взаємодію організму з вакциною "	"25-35"
"12/20/2021 14:50:19"	"Лікар"	"2-2"	1	"лікар"	"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Так"	"Так"	"Всі або майже всі"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Так"	"Недостатньо інформації"	"16-25"
"12/20/2021 14:50:22"	"Декрет"	"10-10"	1	"декрет"	"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Так"	"Ні"	"Близько половини знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Так"	"Дуже погана інформаційна компанія!!! Просто ніяка!"	"35-45"
"12/20/2021 14:51:14"	"Дикрет, до цього оператор кол центра"	"10-10"	0.769230769230769	"декрет"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Так"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Малоосвіченість, відсутність критичного мислення, маніпуляція ЗМІ"	"25-35"
"12/20/2021 14:51:22"	"Фахівець"	"3-10"			"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Важко відповісти"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Ні"	"Так"	"Ні"	"Необізнаність, відсутність критичного мислення"	"16-25"
"12/20/2021 14:51:45"	"Мама, дизайнер"	"2-8"	0.727272727272727	"дизайнер"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Так"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"В том что есть много врачей, которые отговаривают, много давления и мало просвещения "	"25-35"
"12/20/2021 14:52:03"	"В декреті"	"10-10"	0.8	"декрет"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Так"	"Ні"	"Ні"	"Багато знайомих вже і так перехворіли і не розуміють навіщо їм вакцинуватись в них є вже антитіла до вірусу ( з моменту хвороби пройшло пару місяців наприклад). Недовіра до мецини і препаратів для вакцинації."	"25-35"
"12/20/2021 14:52:55"	"Лікар"	"2-2"	1	"лікар"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Так"	"Ні"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Недовіра до держави"	"25-35"
"12/20/2021 14:53:37"	"Студент медичного університету"	"11-10"	1	"студент"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"В раціональному мисленні"	"25-35"
"12/20/2021 14:54:09"	"Безробітня"	"10-10"	0.9	"безробітна"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Так"	"Ні"	"Всі або майже всі"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Ні"	"Ні"	"Нестача розуму"	"25-35"
"12/20/2021 14:54:22"	"Фриланс "	"3-10"	0.875	"фрілансер"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше позитивно"	"Так"	"Так"	"Ні"	"Страх можливих наслiдкiв"	"16-25"
"12/20/2021 14:54:30"	"Бухгалтер"	"3-3"	1	"бухгалтер"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Так"	"Важко відповісти"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше позитивно"	"Ні"	"Ні"	"Ні"	"Сумніви щодо якості вакцини,страх"	"25-35"
"12/20/2021 14:54:50"	"Дизайнер "	"2-8"	1	"дизайнер"	"Ні, не вважаю"	"Скоріше ні"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Так"	"Ні"	"Ні"	"Прошло мало времени и не известно как вакцина повлияет на организм спустя несколько лет"	"25-35"
"12/20/2021 14:54:54"	"Безработная по состоянию здоровья"	"10-10"	1	"безробітна"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Принудительная,лишь бы сделать, безответственность правительства и медиков"	"45-60"
"12/20/2021 14:55:33"	"Викладач "	"2-5"	1	"викладач"	"Так, вважаю"	"Скоріше так"	"Скоріше ні"	"Ні"	"Ні"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Предвзятое отношение к научным данным, доверие к написанному на заборе (отсутствие информационной гигиены)."	"25-35"
"12/20/2021 14:55:45"	"В декрете"	"10-10"	0.8	"декрет"	"Ні, не вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Ні"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Не доверяют вакцине, которая быстро появилась. Не видят смысла, потому что все равно болеют "	"25-35"
"12/20/2021 14:59:53"	"Державний службовець "	"5-4"	1	"державний службовець"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Низький рівень освіченості людей"	"25-35"
"12/20/2021 14:59:55"	"Фоп"	"1-7"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Недовіра до держави та медицини "	"16-25"
"12/20/2021 15:00:10"	"Студент психолог "	"11-10"	1	"студент"	"Ні, не вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Ні"	"Ні"	"Недовіра до влади, примусовий характер кампанії"	"25-35"
"12/20/2021 15:01:03"	"Продавець-когсультант"	"5-4"			"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Так"	"Загальна необізнаність людей  щодо того що таке та вакцина, і чому так важливо її робити, а також банальний страх і нерозуміння чому в нашій державі щось роблять безкоштовно для людей, от якби вакцинуватись можна було лише через знайомих і це не було б доступно для всіх - тоді б усі хотіли зробити вакцину "	"25-35"
"12/20/2021 15:01:22"	"Пенсіонер"	"10-10"	1	"пенсіонер"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Ні"	"Ні"	"Недовіра"	"45-60"
"12/20/2021 15:01:38"	"Військовослужбовець"				"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Так"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Активна робота антиваксерів, недосконала робота влади на місцях щодо вакцинації, необізнаність людей"	"35-45"
"12/20/2021 15:02:23"	"Лікар-радіолог"	"2-2"			"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Так"	"Ні"	"Всі або майже всі"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"IQ низький як у стільця)) А якщо без жартів, те, що люди не розуміють приводить то того, що їм важко бути впевненими, що це для їхнього блага робиться."	"25-35"
"12/20/2021 15:02:59"	"Графічний дизайнер"	"2-8"	1	"дизайнер(2)"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Так"	"Ні"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Недовіра до влади і швидко розробленої вакцини, обмеження свобод і прав невакцинованих людей. Явне примушення до вакцинації. Великий об'єм фейкової інформації, що розповсюджується в інтернеті"	"16-25"
"12/20/2021 15:06:26"	"Мерчендайзер"	"5-4"			"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Необразованость людей и куча придурков в соц. Сетях"	"25-35"
"12/20/2021 15:07:17"	"Підприємець"	"1-7"	1	"підприємець"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Так"	"Важко відповісти"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше позитивно"	"Так"	"Так"	"Ні"	"Страх"	"25-35"
"12/20/2021 15:07:57"	"It"	"2-1"	1	"it"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Страх, низкий интеллект "	"35-45"
"12/20/2021 15:08:56"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Люди більше слухають ""диванних експертів"" та не довіряють сучасній медицині"	"35-45"
"12/20/2021 15:10:02"	"Интернет маркетинг"	"2-4"	0.736842105263158	"маркетолог(2)"	"Так, вважаю"	"Скоріше ні"	"Так, довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше позитивно"	"Так"	"Ні"	"Ні"	"Страх"	"16-25"
"12/20/2021 15:10:35"	"Бізнес аналітик в ITсфері"	"2-1"	1	"аналітик(2)"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Недовіра до уряду, сумніви щодо компетентності лікарів, віра у теорії заговорів"	"25-35"
"12/20/2021 15:10:55"	"Не работаю"	"10-10"	1	"не працюю"	"Так, вважаю"	"Скоріше так"	"Скоріше ні"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Много мифов "	"35-45"
"12/20/2021 15:12:16"	"Копірайтер"	"5-4"			"Так, вважаю"	"Скоріше так"	"Так, довіряю"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше позитивно"	"Так"	"Так"	"Ні"	"Відсутність знань"	"25-35"
"12/20/2021 15:14:48"	"Студентка-біологиня"	"11-1"			"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Ні"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше позитивно"	"Так"	"Так"	"Так"	"У низькому рівні загальнобіологічних знань. В нас у від поліомієліту не вакцинуються( "	"16-25"
"12/20/2021 15:15:17"	"Провізор"	"2-2"			"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше позитивно"	"Ні"	"Ні"	"Ні"	"Недовіра до уряду, медицини. Погана обізнаність. Халатне ставлення до здоров'я"	"25-35"
"12/20/2021 15:15:49"	"В декретній відпустці"	"10-10"	0.769230769230769	"декретна відпустка"	"Так, вважаю"	"Скоріше так"	"Так, довіряю"	"Так"	"Ні"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше позитивно"	"Ні"	"Так"	"Ні"	"Боязнь ускладнення після вакцинації"	"25-35"
"12/20/2021 15:16:25"	"Лікар"	"2-2"	1	"лікар"	"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Так"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Низький рівень освіти і знань в області охорони здоров^я. Людям легше подивитися фейкові страшилки в Інтернеті, аніж читати інформацію про безпечність вакцин."	"16-25"
"12/20/2021 15:17:07"	"Маркетолог"	"2-4"	1	"маркетолог"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Так"	"Ні"	"Близько половини знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Серед моїх знайомих – страх побічних реакцій"	"25-35"
"12/20/2021 15:17:15"	"Керівник"	"1-7"			"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Всі або майже всі"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Тупість"	"35-45"
"12/20/2021 15:17:34"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Ні"	"Близько половини знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Дезінформація"	"35-45"
"12/20/2021 15:20:03"	"Медичний представник "				"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Так"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Неінформованість"	"35-45"
"12/20/2021 15:21:36"	"Управление проектами"	"1-7"			"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Так"	"Ні"	"Всі або майже всі"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Необразованность"	"25-35"
"12/20/2021 15:21:40"	"Юрист"	"2-6"	1	"юрист"	"Так, вважаю"	"Скоріше ні"	"Скоріше так"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше позитивно"	"Ні"	"Ні"	"Ні"	"В тому, що вакцинують усіх під ряд, при цьому навіть не зважають ні на історію хвороби, ні на певні проблеми зі здоров‘ям, навіть елементарні аналізи не роблять.
"	"16-25"
"12/20/2021 15:22:53"	"Бухгалтер"	"3-3"	1	"бухгалтер"	"Ні, не вважаю"	"Скоріше так"	"Так, довіряю"	"Ні"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Важко відповісти"	"Ні"	"Позитивно"	"Так"	"Ні"	"Ні"	"Недовіра до влади "	"25-35"
"12/20/2021 15:26:31"	"Інженер з організації та нормування праці"	"2-1"	1	"інженер"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Страх і недовіра через брак знань і нерозуміння того, як вона працює"	"25-35"
"12/20/2021 15:27:47"	"Фрилансер"	"3-10"	1	"фрілансер"	"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше позитивно"	"Так"	"Ні"	"Ні"	"Много противоречивой информации, слухов и в целом недоверие к медицине"	"25-35"
"12/20/2021 15:29:17"	"Hr"	"3-11"	1	"hr"	"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Ні"	"Ні"	"Близько половини знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Бо максимально отупіли і читають кацапські новини і їм довіряють"	"25-35"
"12/20/2021 15:31:56"	"Фоп"	"1-7"			"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Так"	"Так"	"Близько половини знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Ні"	"Ні"	"Страх"	"25-35"
